"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Josh Allen",BUF,"QB1","vs. CIN","4 out of 5 stars"
"2","De'Von Achane",MIA,"RB1","at NYJ","4 out of 5 stars"
"3","Jaxon Smith-Njigba",SEA,"WR1","at ATL","4 out of 5 stars"
"4","Dak Prescott",DAL,"QB2","at DET","4 out of 5 stars"
"5","Jahmyr Gibbs",DET,"RB2","vs. DAL","3 out of 5 stars"
"6","Jalen Hurts",PHI,"QB3","at LAC","2 out of 5 stars"
"7","Matthew Stafford",LAR,"QB4","at ARI","2 out of 5 stars"
"8","CeeDee Lamb",DAL,"WR2","at DET","4 out of 5 stars"
"9","James Cook III",BUF,"RB3","vs. CIN","4 out of 5 stars"
"10","Jared Goff",DET,"QB5","vs. DAL","5 out of 5 stars"
"11","Jonathan Taylor",IND,"RB4","at JAC","2 out of 5 stars"
"12","Joe Burrow",CIN,"QB6","at BUF","2 out of 5 stars"
"13","Rashee Rice",KC,"WR3","vs. HOU","2 out of 5 stars"
"14","Ja'Marr Chase",CIN,"WR4","at BUF","4 out of 5 stars"
"15","Chase Brown",CIN,"RB5","at BUF","4 out of 5 stars"
"16","Patrick Mahomes II",KC,"QB7","vs. HOU","2 out of 5 stars"
"17","Bijan Robinson",ATL,"RB6","vs. SEA","2 out of 5 stars"
"18","Lamar Jackson",BAL,"QB8","vs. PIT","3 out of 5 stars"
"19","Baker Mayfield",TB,"QB9","vs. NO","2 out of 5 stars"
"20","Jacoby Brissett",ARI,"QB10","vs. LAR","3 out of 5 stars"
"21","Justin Herbert",LAC,"QB11","vs. PHI","2 out of 5 stars"
"22","Jordan Love",GB,"QB12","vs. CHI","5 out of 5 stars"
"23","Puka Nacua",LAR,"WR5","at ARI","3 out of 5 stars"
"24","George Pickens",DAL,"WR6","at DET","4 out of 5 stars"
"25","Daniel Jones",IND,"QB13","at JAC","3 out of 5 stars"
"26","Bo Nix",DEN,"QB14","at LV","3 out of 5 stars"
""
"27","Davante Adams",LAR,"WR7","at ARI","3 out of 5 stars"
"28","Bucky Irving",TB,"RB7","vs. NO","3 out of 5 stars"
"29","Sam Darnold",SEA,"QB15","at ATL","3 out of 5 stars"
"30","Trevor Lawrence",JAC,"QB16","vs. IND","2 out of 5 stars"
"31","Trey McBride",ARI,"TE1","vs. LAR","2 out of 5 stars"
"32","Breece Hall",NYJ,"RB8","vs. MIA","4 out of 5 stars"
"33","Caleb Williams",CHI,"QB17","at GB","2 out of 5 stars"
"34","Josh Jacobs",GB,"RB9","vs. CHI","4 out of 5 stars"
"35","Tyrod Taylor",NYJ,"QB18","vs. MIA","4 out of 5 stars"
